,match_id,date,home_team,away_team,result,draw_odds,home_win_odds
71,EPL2425_101,2024-11-02,Arsenal,Newcastle,0,4.32,2.63
72,EPL2425_102,2024-11-02,Aston Villa,Nottingham Forest,1,3.85,3.0
73,EPL2425_104,2024-11-02,Everton,Fulham,0,5.03,3.37
74,EPL2425_105,2024-11-02,Liverpool,Bournemouth,0,4.71,3.18
75,EPL2425_107,2024-11-02,Man City,Wolves,1,3.9,3.12
76,EPL2425_108,2024-11-02,Tottenham,Crystal Palace,0,3.47,3.39
77,EPL2425_109,2024-11-02,West Ham,Brighton,1,5.26,2.66
78,EPL2425_112,2024-11-09,Brighton,Man City,1,4.26,2.4
79,EPL2425_113,2024-11-09,Crystal Palace,Chelsea,0,4.46,2.58
80,EPL2425_115,2024-11-09,Man United,Everton,0,3.45,2.9
81,EPL2425_116,2024-11-09,Newcastle,Tottenham,1,3.9,2.45
82,EPL2425_119,2024-11-09,Wolves,Aston Villa,0,3.45,3.1
83,EPL2425_120,2024-11-09,Bournemouth,Burnley,1,3.35,2.75
84,EPL2425_121,2024-11-23,Arsenal,Burnley,0,3.75,1.85
85,EPL2425_122,2024-11-23,Aston Villa,Fulham,1,3.45,2.1
86,EPL2425_124,2024-11-23,Everton,Man United,0,3.35,2.45
87,EPL2425_125,2024-11-23,Liverpool,Brighton,1,3.85,1.75
88,EPL2425_127,2024-11-23,Man City,Sheffield United,0,4.25,1.45
89,EPL2425_128,2024-11-23,Tottenham,Wolves,1,3.45,2.15
90,EPL2425_129,2024-11-23,West Ham,Crystal Palace,0,3.35,2.25
91,EPL2425_131,2024-11-30,Brentford,West Ham,1,3.35,2.45
92,EPL2425_133,2024-11-30,Crystal Palace,Liverpool,0,3.35,3.25
93,EPL2425_135,2024-11-30,Man United,Nottingham Forest,0,3.45,2.15
94,EPL2425_136,2024-11-30,Newcastle,Aston Villa,1,3.35,2.25
95,EPL2425_138,2024-11-30,Wolves,Chelsea,1,3.35,2.85
96,EPL2425_139,2024-11-30,Bournemouth,Luton,0,3.45,2.15
97,EPL2425_141,2024-12-03,Arsenal,Wolves,0,3.85,1.65
98,EPL2425_142,2024-12-03,Aston Villa,Burnley,1,3.55,1.95
99,EPL2425_144,2024-12-03,Everton,Newcastle,0,3.35,2.45
100,EPL2425_145,2024-12-03,Liverpool,Man United,1,3.75,1.85
101,EPL2425_147,2024-12-03,Man City,Bournemouth,0,4.25,1.45
102,EPL2425_148,2024-12-03,Tottenham,Brentford,1,3.55,1.95
103,EPL2425_149,2024-12-03,West Ham,Sheffield United,0,3.45,2.15
104,EPL2425_151,2024-12-07,Brentford,Aston Villa,1,3.35,2.45
105,EPL2425_152,2024-12-07,Brighton,Nottingham Forest,0,3.45,2.15
106,EPL2425_154,2024-12-07,Fulham,Liverpool,1,3.45,3.25
107,EPL2425_156,2024-12-07,Newcastle,Arsenal,0,3.45,2.85
108,EPL2425_158,2024-12-07,Wolves,Tottenham,1,3.35,2.85
109,EPL2425_159,2024-12-07,Bournemouth,Everton,0,3.35,2.45
110,EPL2425_161,2024-12-14,Arsenal,Brighton,1,3.75,1.85
111,EPL2425_162,2024-12-14,Aston Villa,Wolves,0,3.55,1.95
112,EPL2425_164,2024-12-14,Everton,Bournemouth,0,3.35,2.45
113,EPL2425_165,2024-12-14,Liverpool,Newcastle,1,3.75,1.85
114,EPL2425_167,2024-12-14,Man City,Crystal Palace,0,4.25,1.45
115,EPL2425_168,2024-12-14,Tottenham,Sheffield United,1,3.45,2.15
116,EPL2425_169,2024-12-14,West Ham,Fulham,0,3.35,2.25
117,EPL2425_171,2024-12-21,Brentford,Man United,1,3.35,2.45
118,EPL2425_173,2024-12-21,Crystal Palace,Nottingham Forest,0,3.35,2.85
119,EPL2425_175,2024-12-21,Newcastle,Man City,1,3.45,2.15
120,EPL2425_176,2024-12-21,Sheffield United,Luton,0,3.35,2.25
121,EPL2425_178,2024-12-21,Bournemouth,Arsenal,1,3.35,2.85
122,EPL2425_179,2024-12-21,Burnley,Aston Villa,0,3.45,2.15
123,EPL2425_181,2024-12-26,Arsenal,West Ham,0,3.75,1.85
124,EPL2425_182,2024-12-26,Aston Villa,Sheffield United,1,3.45,2.15
125,EPL2425_184,2024-12-26,Everton,Man City,0,3.45,3.25
126,EPL2425_185,2024-12-26,Liverpool,Burnley,1,3.55,2.75
127,EPL2425_187,2024-12-26,Man United,Newcastle,0,3.45,3.75
128,EPL2425_188,2024-12-26,Tottenham,Brighton,1,3.35,2.85
129,EPL2425_190,2024-12-26,Fulham,Brentford,0,3.45,2.15
130,EPL2425_191,2024-12-30,Brentford,Everton,1,3.75,1.85
131,EPL2425_193,2024-12-30,Crystal Palace,Fulham,0,3.45,2.15
132,EPL2425_194,2024-12-30,Man City,Liverpool,1,3.35,2.45
133,EPL2425_195,2024-12-30,Newcastle,Nottingham Forest,0,3.75,1.85
134,EPL2425_197,2024-12-30,West Ham,Aston Villa,1,4.25,1.45
135,EPL2425_199,2024-12-30,Bournemouth,Tottenham,0,3.35,2.25
136,EPL2425_200,2024-12-30,Burnley,Chelsea,1,3.45,2.35
137,EPL2425_201,2025-01-13,Arsenal,Crystal Palace,0,3.35,2.45
138,EPL2425_202,2025-01-13,Aston Villa,Everton,1,3.45,3.15
139,EPL2425_204,2025-01-13,Liverpool,West Ham,0,3.75,4.25
140,EPL2425_205,2025-01-13,Man City,Burnley,1,3.45,2.15
141,EPL2425_207,2025-01-13,Tottenham,Man United,0,3.45,3.75
142,EPL2425_208,2025-01-13,Wolves,Newcastle,1,3.35,2.85
143,EPL2425_210,2025-01-13,Bournemouth,Brentford,0,3.35,2.45
144,EPL2425_211,2025-01-30,Brentford,Wolves,1,3.75,1.85
145,EPL2425_213,2025-01-30,Crystal Palace,Sheffield United,0,3.35,2.35
146,EPL2425_214,2025-01-30,Everton,Arsenal,1,3.45,3.25
147,EPL2425_216,2025-01-30,Man City,Chelsea,0,3.45,2.85
148,EPL2425_217,2025-01-30,Newcastle,Fulham,1,3.45,3.75
149,EPL2425_219,2025-01-30,Bournemouth,Liverpool,0,3.35,2.45
150,EPL2425_220,2025-01-30,Burnley,Tottenham,1,3.45,2.15
151,EPL2425_222,2025-02-03,Aston Villa,Chelsea,0,3.45,3.15
152,EPL2425_223,2025-02-03,Fulham,Bournemouth,1,3.35,2.85
153,EPL2425_225,2025-02-03,Newcastle,Brentford,0,3.45,2.15
154,EPL2425_226,2025-02-03,Nottingham Forest,Burnley,1,3.35,2.25
155,EPL2425_228,2025-02-03,Tottenham,Man City,0,3.35,2.85
156,EPL2425_229,2025-02-03,Wolves,West Ham,1,3.45,2.15
157,EPL2425_231,2025-02-10,Brentford,Sheffield United,0,3.75,1.85
158,EPL2425_232,2025-02-10,Brighton,Wolves,1,3.45,2.15
159,EPL2425_234,2025-02-10,Luton,Arsenal,0,3.45,3.25
160,EPL2425_235,2025-02-10,Man City,Aston Villa,1,3.55,2.75
161,EPL2425_237,2025-02-10,Bournemouth,Man United,0,3.45,3.75
162,EPL2425_238,2025-02-10,Burnley,Nottingham Forest,1,3.35,2.85
163,EPL2425_240,2025-02-10,Liverpool,Tottenham,0,3.45,2.15
164,EPL2425_241,2025-02-17,Arsenal,Burnley,1,3.35,2.45
165,EPL2425_243,2025-02-17,Everton,Chelsea,0,3.35,2.85
166,EPL2425_244,2025-02-17,Fulham,Luton,1,3.75,4.25
167,EPL2425_246,2025-02-17,Newcastle,Brighton,0,3.35,2.25
168,EPL2425_247,2025-02-17,Nottingham Forest,Man City,1,3.45,3.75
169,EPL2425_249,2025-02-17,Tottenham,Bournemouth,0,3.45,2.15
170,EPL2425_250,2025-02-17,Wolves,Brentford,1,3.35,2.45
171,EPL2425_252,2025-02-24,Brighton,Sheffield United,0,3.45,2.15
172,EPL2425_253,2025-02-24,Crystal Palace,Wolves,1,3.35,2.35
173,EPL2425_255,2025-02-24,Man City,Arsenal,0,3.55,2.75
174,EPL2425_256,2025-02-24,West Ham,Newcastle,1,3.45,2.85
175,EPL2425_258,2025-02-24,Burnley,Man United,0,3.35,2.85
176,EPL2425_259,2025-02-24,Chelsea,Tottenham,1,3.35,2.45
177,EPL2425_261,2025-03-02,Arsenal,Chelsea,0,3.35,2.45
178,EPL2425_262,2025-03-02,Aston Villa,Crystal Palace,1,3.45,3.15
179,EPL2425_264,2025-03-02,Fulham,Burnley,0,3.75,4.25
180,EPL2425_265,2025-03-02,Man United,Brighton,1,3.45,2.15
181,EPL2425_267,2025-03-02,Nottingham Forest,Bournemouth,0,3.45,3.75
182,EPL2425_268,2025-03-02,Sheffield United,Brentford,1,3.35,2.85
183,EPL2425_270,2025-03-02,Wolves,Luton,0,3.35,2.45
184,EPL2425_271,2025-03-09,Brentford,Man City,1,3.75,1.85
185,EPL2425_273,2025-03-09,Crystal Palace,Man United,0,3.35,2.35
186,EPL2425_274,2025-03-09,Luton,Chelsea,1,3.45,3.25
187,EPL2425_276,2025-03-09,Bournemouth,Wolves,0,3.45,2.85
188,EPL2425_277,2025-03-09,Burnley,Sheffield United,1,3.45,3.75
189,EPL2425_279,2025-03-09,Fulham,Everton,0,3.35,2.45
190,EPL2425_280,2025-03-09,Tottenham,Aston Villa,1,3.45,2.15
191,EPL2425_282,2025-03-16,Aston Villa,Luton,0,3.45,3.15
192,EPL2425_283,2025-03-16,Chelsea,Liverpool,1,3.35,2.85
193,EPL2425_285,2025-03-16,Man City,West Ham,0,3.45,2.15
194,EPL2425_286,2025-03-16,Newcastle,Bournemouth,1,3.35,2.25
195,EPL2425_288,2025-03-16,Sheffield United,Crystal Palace,0,3.35,2.85
196,EPL2425_289,2025-03-16,Wolves,Brighton,1,3.45,2.15
197,EPL2425_291,2025-03-30,Brentford,Arsenal,0,4.87,1.96
198,EPL2425_292,2025-03-30,Brighton,Aston Villa,1,3.03,3.71
199,EPL2425_294,2025-03-30,Luton,Liverpool,0,4.57,2.39
200,EPL2425_295,2025-03-30,Man City,Man United,1,3.91,2.8
201,EPL2425_297,2025-03-30,Bournemouth,Sheffield United,0,3.26,3.52
202,EPL2425_298,2025-03-30,Burnley,Wolves,1,4.02,2.16
203,EPL2425_300,2025-03-30,Tottenham,Nottingham Forest,0,4.61,2.34
204,EPL2425_301,2025-04-06,Arsenal,Fulham,1,3.37,2.92
205,EPL2425_303,2025-04-06,Chelsea,Brentford,0,3.16,3.17
206,EPL2425_304,2025-04-06,Everton,West Ham,1,4.56,2.9
207,EPL2425_306,2025-04-06,Man United,Luton,0,4.58,2.37
208,EPL2425_307,2025-04-06,Newcastle,Crystal Palace,1,3.62,2.39
209,EPL2425_309,2025-04-06,Sheffield United,Man City,0,4.14,3.59
210,EPL2425_310,2025-04-06,Wolves,Tottenham,1,3.2,3.4
211,EPL2425_312,2025-04-13,Crystal Palace,Arsenal,0,3.95,3.34
212,EPL2425_313,2025-04-13,Luton,Wolves,1,3.2,3.54
213,EPL2425_315,2025-04-13,West Ham,Liverpool,0,4.11,2.17
214,EPL2425_316,2025-04-13,Bournemouth,Man United,1,3.03,3.33
215,EPL2425_318,2025-04-13,Chelsea,Sheffield United,0,3.62,2.31
216,EPL2425_319,2025-04-13,Fulham,Aston Villa,1,3.04,3.69
217,EPL2425_321,2025-04-20,Arsenal,Aston Villa,0,4.39,2.61
218,EPL2425_322,2025-04-20,Brighton,Crystal Palace,1,4.15,2.39
219,EPL2425_324,2025-04-20,Liverpool,Chelsea,0,5.72,2.03
220,EPL2425_325,2025-04-20,Man United,Arsenal,1,4.88,2.21
221,EPL2425_327,2025-04-20,Nottingham Forest,West Ham,0,5.38,1.96
222,EPL2425_328,2025-04-20,Wolves,Man City,1,2.97,2.97
223,EPL2425_330,2025-04-20,Burnley,Brentford,0,4.43,2.34
224,EPL2425_331,2025-04-27,Brentford,Newcastle,1,4.37,2.1
225,EPL2425_333,2025-04-27,Luton,Nottingham Forest,0,3.31,2.88
226,EPL2425_334,2025-04-27,Man City,Liverpool,1,4.39,2.25
227,EPL2425_336,2025-04-27,Sheffield United,Wolves,0,3.2,3.69
228,EPL2425_337,2025-04-27,Chelsea,Arsenal,1,3.97,3.34
229,EPL2425_339,2025-04-27,Tottenham,Burnley,0,4.38,2.82
230,EPL2425_340,2025-04-27,Aston Villa,Everton,1,4.47,2.27
231,EPL2425_342,2025-05-04,Brighton,Chelsea,0,4.61,2.11
232,EPL2425_343,2025-05-04,Everton,Wolves,1,5.76,1.97
233,EPL2425_345,2025-05-04,Newcastle,West Ham,0,5.68,2.29
234,EPL2425_346,2025-05-04,Nottingham Forest,Crystal Palace,1,3.12,3.45
235,EPL2425_348,2025-05-04,Burnley,Fulham,0,3.81,3.71
236,EPL2425_349,2025-05-04,Liverpool,Luton,1,3.91,3.23
237,EPL2425_351,2025-05-11,Brentford,Bournemouth,0,3.11,2.9
238,EPL2425_352,2025-05-11,Crystal Palace,Burnley,1,4.69,2.61
239,EPL2425_354,2025-05-11,Man City,Nottingham Forest,0,3.28,3.02
240,EPL2425_355,2025-05-11,West Ham,Man United,1,3.9,2.68
241,EPL2425_357,2025-05-11,Aston Villa,Arsenal,0,5.11,2.95
242,EPL2425_358,2025-05-11,Chelsea,Newcastle,1,5.06,2.36
243,EPL2425_360,2025-05-11,Sheffield United,Everton,0,3.89,3.56
244,EPL2425_361,2025-05-19,Arsenal,Luton,1,4.69,3.65
245,EPL2425_363,2025-05-19,Everton,Brentford,0,3.66,2.55
246,EPL2425_364,2025-05-19,Liverpool,Crystal Palace,1,4.0,3.39
247,EPL2425_366,2025-05-19,Newcastle,Man City,0,5.05,3.87
248,EPL2425_367,2025-05-19,Nottingham Forest,Sheffield United,1,4.75,2.12
249,EPL2425_369,2025-05-19,Burnley,Brighton,0,4.72,2.91
250,EPL2425_370,2025-05-19,Tottenham,Fulham,1,7.26,2.6
